listing_id,listing_type,room_type,latitude,longitude,guests,bedrooms,superhost,num_reviews,rating_overall,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_reserved_days,ttm_revpar_native,currency
14049036,Entire home,entire_home,64.1603,-21.7515,7.0,4.0,False,9,4.89,2169356.0,72365.9,0.077,28,5577.4,ISK
14173743,Entire rental unit,entire_home,64.1428,-21.9344,3.0,1.0,True,190,4.92,3907011.0,20717.6,0.474,173,9945.8,ISK
14259579,Private room in hostel,private_room,64.1493,-21.9486,2.0,1.0,False,223,4.72,1003525.0,25975.4,0.104,38,2666.4,ISK
14262868,Private room in hostel,private_room,64.1478,-21.9472,2.0,1.0,False,261,4.69,967444.0,26102.2,0.104,38,2573.5,ISK
14317826,Entire rental unit,entire_home,64.1461,-21.9261,2.0,1.0,True,407,4.96,4321212.0,19902.9,0.575,210,11838.9,ISK
14551661,Entire rental unit,entire_home,64.1344,-21.9148,5.0,3.0,True,120,4.92,1388611.0,24690.4,0.153,56,3804.4,ISK
14552323,Private room in rental unit,private_room,64.1467,-21.9635,,,False,190,4.87,1620728.0,10101.8,0.436,159,4440.4,ISK
14599978,Tiny home,entire_home,64.1451,-21.9253,2.0,,False,227,4.77,7168306.0,24139.1,0.808,295,19639.2,ISK
14629805,Private room in hostel,private_room,64.1486,-21.9473,2.0,1.0,False,206,4.7,830936.0,28183.8,0.082,30,2217.3,ISK
14713932,Entire rental unit,entire_home,64.1385,-21.9198,4.0,1.0,False,240,4.77,6148066.0,18689.1,0.751,274,14156.9,ISK
14730235,Entire guesthouse,entire_home,64.1417,-21.9278,2.0,1.0,True,207,4.92,2917152.0,41593.1,0.296,108,7594.8,ISK
14851216,Entire home,entire_home,64.1433,-21.9579,9.0,5.0,False,160,4.79,19504036.0,96877.8,0.526,192,52020.3,ISK
14895478,Entire rental unit,entire_home,64.1419,-21.9109,11.0,4.0,False,398,4.87,16977722.0,61925.3,0.699,255,42560.9,ISK
14950296,Entire rental unit,entire_home,64.1003,-21.8296,2.0,1.0,False,579,4.9,4750263.0,14784.4,0.8,292,11864.0,ISK
15125610,Entire rental unit,entire_home,64.1431,-21.9453,4.0,1.0,False,77,4.65,1697479.0,22345.1,0.192,70,4556.5,ISK
15162320,Entire rental unit,entire_home,64.1507,-21.8752,5.0,3.0,False,18,5.0,1273895.0,35817.6,0.101,37,3455.3,ISK
15434905,Entire condo,entire_home,64.1467,-21.9386,8.0,4.0,False,298,4.95,30249901.0,103296.7,0.696,254,73511.5,ISK
15566642,Entire home,entire_home,64.1453,-21.864,6.0,3.0,True,194,4.9,7020379.0,42460.0,0.4,146,18575.7,ISK
15776652,Entire villa,entire_home,64.1264,-21.9035,12.0,5.0,False,16,4.94,5728785.0,220838.0,0.068,25,15334.5,ISK
15888849,Private room in home,private_room,64.1447,-21.9003,2.0,1.0,True,319,4.78,2011543.0,15068.6,0.34,124,5262.5,ISK
15889332,Private room in home,private_room,64.1434,-21.9048,2.0,1.0,True,322,4.74,1008069.0,11988.1,0.225,82,2657.6,ISK
15918098,Private room in home,private_room,64.1435,-21.9046,,,True,339,4.72,1897765.0,13257.2,0.395,144,5199.4,ISK
16053541,Entire rental unit,entire_home,64.1417,-21.9345,3.0,1.0,False,219,4.9,379666.0,31050.8,0.041,15,1040.2,ISK
16099922,Private room in home,private_room,64.1446,-21.9022,2.0,1.0,True,350,4.69,590179.0,14152.6,0.107,39,1551.0,ISK
16112875,Private room in townhouse,private_room,64.1074,-21.837,,,False,63,4.87,662706.0,16554.4,0.107,39,1754.3,ISK
16145385,Entire rental unit,entire_home,64.1434,-21.9305,6.0,2.0,False,53,4.81,1279911.0,83587.5,0.036,13,3283.5,ISK
16184348,Entire rental unit,entire_home,64.1444,-21.9201,7.0,2.0,False,114,4.56,5060085.0,34718.9,0.364,133,13053.0,ISK
16267204,Entire rental unit,entire_home,64.1432,-21.9282,4.0,1.0,True,226,4.93,7230138.0,31831.4,0.562,205,18930.0,ISK
16332146,Entire rental unit,entire_home,64.1432,-21.9158,4.0,2.0,False,14,4.86,6284316.0,48965.1,0.312,114,17217.3,ISK
16335007,Entire rental unit,entire_home,64.1424,-21.9155,2.0,,False,11,4.64,3004538.0,33198.8,0.255,93,8231.6,ISK
16335142,Entire rental unit,entire_home,64.1423,-21.915,4.0,1.0,False,3,5.0,2461757.0,33602.1,0.178,65,6744.5,ISK
16336972,Entire rental unit,entire_home,64.1431,-21.9118,4.0,1.0,True,559,4.66,891528.0,20096.1,0.115,42,2191.5,ISK
16413465,Entire rental unit,entire_home,64.1447,-21.9604,2.0,1.0,True,100,4.98,4663838.0,32467.2,0.381,139,12175.2,ISK
16417694,Entire rental unit,entire_home,64.1429,-21.9296,5.0,2.0,True,184,4.94,10737308.0,46207.1,0.581,212,28419.6,ISK
16424255,Private room in rental unit,private_room,64.1498,-21.9571,,,True,645,4.85,2356535.0,18912.2,0.312,114,6456.3,ISK
16425116,Private room in rental unit,private_room,64.1498,-21.9571,,,True,635,4.85,2943619.0,18582.2,0.427,156,8064.7,ISK
16513422,Entire rental unit,entire_home,64.1438,-21.9329,8.0,2.0,False,163,4.75,13502420.0,64785.4,0.49,179,35084.5,ISK
16524924,Entire rental unit,entire_home,64.1448,-21.9318,6.0,2.0,False,113,4.69,10030887.0,50854.4,0.466,170,25532.0,ISK
16525028,Entire rental unit,entire_home,64.1438,-21.9329,10.0,4.0,False,227,4.77,21204313.0,98093.4,0.537,196,55932.2,ISK
16542824,Private room in home,private_room,64.1075,-21.837,,,False,61,4.69,584551.0,16509.3,0.093,34,1540.2,ISK
16543511,Private room in home,private_room,64.1102,-21.8378,,,False,67,4.75,770066.0,17084.3,0.126,46,2025.4,ISK
16625616,Private room in condo,private_room,64.148,-21.927,,,True,213,4.96,1385245.0,18793.0,0.205,75,3795.2,ISK
16627119,Entire rental unit,entire_home,64.1434,-21.9196,4.0,1.0,False,360,4.87,9669374.0,37497.0,0.622,227,24759.4,ISK
16804417,Entire rental unit,entire_home,64.1441,-21.9342,2.0,1.0,False,56,4.77,635229.0,29183.6,0.055,20,1698.5,ISK
16893348,Entire condo,entire_home,64.1439,-21.9242,4.0,2.0,False,390,4.78,7597182.0,38169.1,0.523,191,20814.2,ISK
17118094,Entire rental unit,entire_home,64.1495,-21.9455,6.0,2.0,True,627,4.93,9642189.0,39005.9,0.559,204,24169.0,ISK
17122328,Entire guest suite,entire_home,64.2391,-21.8335,5.0,2.0,True,197,4.95,2157292.0,22627.7,0.244,89,5324.0,ISK
17413234,Private room in home,private_room,64.1443,-21.933,,,True,273,4.82,2999035.0,16646.8,0.405,148,7358.9,ISK
17418114,Private room in home,private_room,64.1443,-21.9329,,,True,414,4.88,3895607.0,11933.8,0.775,283,9330.8,ISK
